Title,URL,Description,Details,Journal,Year,Resource,Type,Identifiers,Db,EntrezUID,cDate,First_Author,University,Author_Number,pmid
Improved anticancer and antiparasitic activity of new lawsone Mannich bases.,/pubmed/27912173,"Mahal K, Ahmad A, Schmitt F, Lockhauserbäumer J, Starz K, Pradhan R, Padhye S, Sarkar FH, Koko WS, Schobert R, Ersfeld K, Biersack B.",Eur J Med Chem. 2016 Nov 22;126:421-431. doi: 10.1016/j.ejmech.2016.11.043. [Epub ahead of print],Eur J Med Chem, 2016,PubMed,citation,PMID:27912173,pubmed,27912173,2016/12/03 , Mahal K,Khartoum,12,27912173
"Serum Calcium, Magnesium, Zinc and Copper Levels in Sudanese Women with Preeclampsia.",/pubmed/27911936,"Elmugabil A, Hamdan HZ, Elsheikh AE, Rayis DA, Adam I, Gasim GI.",PLoS One. 2016 Dec 2;11(12):e0167495. doi: 10.1371/journal.pone.0167495.,PLoS One, 2016,PubMed,citation,PMID:27911936 | PMCID:PMC5135106,pubmed,27911936,2016/12/03 , Elmugabil A,Khartoum,6,27911936 | PMCID:PMC5135106
"Tintelnotia, a new genus in Phaeosphaeriaceae harbouring agents of cornea and nail infections in humans.",/pubmed/27910191,"Ahmed SA, Hofmüller W, Seibold M, de Hoog GS, Harak H, Tammer I, van Diepeningen AD, Behrens-Baumann W.",Mycoses. 2016 Dec 1. doi: 10.1111/myc.12588. [Epub ahead of print],Mycoses, 2016,PubMed,citation,PMID:27910191,pubmed,27910191,2016/12/03 , Ahmed SA,Khartoum,8,27910191
HPLC-UV and LC-MS Analyses of Acylquinic Acids in Geigeria alata (DC) Oliv. & Hiern. and their Contribution to Antioxidant and Antimicrobial Capacity.,/pubmed/27910164,"Zheleva-Dimitrova D, Gevrenova R, Zaharieva MM, Najdenski H, Ruseva S, Lozanov V, Balabanova V, Yagi S, Momekov G, Mitev V.",Phytochem Anal. 2016 Dec 1. doi: 10.1002/pca.2658. [Epub ahead of print],Phytochem Anal, 2016,PubMed,citation,PMID:27910164,pubmed,27910164,2016/12/03 , Zheleva-Dimitrova D,Khartoum,10,27910164
The rebirth of cardiac surgery in Sudan.,/pubmed/27904841,"ElSayed A, Elnur EE.",Cardiovasc Diagn Ther. 2016 Oct;6(Suppl 1):S20-S26.,Cardiovasc Diagn Ther, 2016,PubMed,citation,PMID:27904841 | PMCID:PMC5120000,pubmed,27904841,2016/12/03 , ElSayed A,Khartoum,2,27904841 | PMCID:PMC5120000
Perceived Stress among Malaysian Railway Workers.,/pubmed/27904423,"Al-Dubai SA, Ganasegeran K, Elkalmi R, Alshakka M, Ghanem N.",Malays J Med Sci. 2016 Sep;23(5):38-43.,Malays J Med Sci, 2016,PubMed,citation,PMID:27904423 | PMCID:PMC5101980,pubmed,27904423,2016/12/03 , Al-Dubai SA,Khartoum,5,27904423 | PMCID:PMC5101980
RNAi-mediated resistance to rice black-streaked dwarf virus in transgenic rice.,/pubmed/27900537,"Ahmed MM, Bian S, Wang M, Zhao J, Zhang B, Liu Q, Zhang C, Tang S, Gu M, Yu H.",Transgenic Res. 2016 Nov 30. [Epub ahead of print],Transgenic Res, 2016,PubMed,citation,PMID:27900537,pubmed,27900537,2016/12/03 , Ahmed MM,Khartoum,10,27900537
PIXE study on the effects of parathyroid hormone on elemental content in rat bones.,/pubmed/27899269,"Eisa MH, Shen H, Jin W, Alaamer AS, Al-Rajhi MA, Idriss H.",Phys Med. 2016 Nov 26. pii: S1120-1797(16)31098-5. doi: 10.1016/j.ejmp.2016.11.117. [Epub ahead of print],Phys Med, 2016,PubMed,citation,PMID:27899269,pubmed,27899269,2016/12/03 , Eisa MH,Khartoum,6,27899269
Feature Selection Using Information Gain for Improved Structural-Based Alert Correlation.,/pubmed/27893821,"Alhaj TA, Siraj MM, Zainal A, Elshoush HT, Elhaj F.",PLoS One. 2016 Nov 28;11(11):e0166017. doi: 10.1371/journal.pone.0166017.,PLoS One, 2016,PubMed,citation,PMID:27893821 | PMCID:PMC5125592,pubmed,27893821,2016/11/29 , Alhaj TA,Khartoum,5,27893821 | PMCID:PMC5125592
Association of single nucleotide polymorphism in melatonin receptor 1A gene with egg production traits in Yangzhou geese.,/pubmed/27885693,"Alsiddig MA, Yu SG, Pan ZX, Widaa H, Badri TM, Chen J, Liu HL.",Anim Genet. 2016 Nov 24. doi: 10.1111/age.12517. [Epub ahead of print],Anim Genet, 2016,PubMed,citation,PMID:27885693,pubmed,27885693,2016/11/26 , Alsiddig MA,Khartoum,7,27885693
"Research: Prevalence of neural tube defects Khartoum, Sudan August 2014-July 2015.",/pubmed/27881182,"Omer IM, Abdullah OM, Mohammed IN, Abbasher LA.",BMC Res Notes. 2016 Nov 24;9(1):495.,BMC Res Notes, 2016,PubMed,citation,PMID:27881182 | PMCID:PMC5121962,pubmed,27881182,2016/11/25 , Omer IM,Khartoum,4,27881182 | PMCID:PMC5121962
Diagnostic accuracy of rKLO8 versus rK26 ELISAs for screening of canine visceral leishmaniasis.,/pubmed/27876645,"Martínez Abad LP, Almeida CS, Mattos AM, Mendonça AC, Alves MJ, Pinheiro AC, Porrozzi R, Abass E, Steinhoff U, Teixeira HC.",Acta Trop. 2016 Nov 19;166:133-138. doi: 10.1016/j.actatropica.2016.11.021. [Epub ahead of print],Acta Trop, 2016,PubMed,citation,PMID:27876645,pubmed,27876645,2016/11/24 , Martínez Abad LP,Khartoum,10,27876645
Mortality and rebleeding following variceal haemorrhage in liver cirrhosis and periportal fibrosis.,/pubmed/27872685,"Mohammed SE, Abdo AE, Mudawi HM.",World J Hepatol. 2016 Nov 8;8(31):1336-1342.,World J Hepatol, 2016,PubMed,citation,PMID:27872685,pubmed,27872685,2016/11/23 , Mohammed SE,Khartoum,3,27872685
Associations between Season and Gametocyte Dynamics in Chronic Plasmodium falciparum Infections.,/pubmed/27870874,"Gadalla AA, Schneider P, Churcher TS, Nassir E, Abdel-Muhsin AA, Ranford-Cartwright LC, Reece SE, Babiker HA.",PLoS One. 2016 Nov 21;11(11):e0166699. doi: 10.1371/journal.pone.0166699.,PLoS One, 2016,PubMed,citation,PMID:27870874 | PMCID:PMC5117706,pubmed,27870874,2016/11/22 , Gadalla AA,Khartoum,8,27870874 | PMCID:PMC5117706
Angiotensin-converting enzyme insertion/deletion polymorphism is not associated with vasoocclusive complications of sickle cell anemia.,/pubmed/27857895,"Mahjoub SA, Abdelrhman E, El-Deen ME, Mustafa MS, Ali EW.",Int J Appl Basic Med Res. 2016 Oct-Dec;6(4):267-270.,Int J Appl Basic Med Res, 2016,PubMed,citation,PMID:27857895 | PMCID:PMC5108104,pubmed,27857895,2016/11/20 , Mahjoub SA,Khartoum,5,27857895 | PMCID:PMC5108104
The Thermodynamic and Kinetic Properties of 2-Hydroxypyridine/2-Pyridone Tautomerization: A Theoretical and Computational Revisit.,/pubmed/27854244,"Hejazi SA, Osman OI, Alyoubi AO, Aziz SG, Hilal RH.",Int J Mol Sci. 2016 Nov 14;17(11). pii: E1893.,Int J Mol Sci, 2016,PubMed,citation,PMID:27854244 | PMCID:PMC5133892,pubmed,27854244,2016/11/18 , Hejazi SA,Khartoum,5,27854244 | PMCID:PMC5133892
Oral-health-related background factors and dental service utilisation among Sudanese children with and without a congenital heart defects.,/pubmed/27846833,"Ali HM, Mustafa M, Nasir EF, Lie SA, Hasabalrasol S, Elshazali OH, Ali RW, Skeie MS.",BMC Oral Health. 2016 Nov 15;16(1):123.,BMC Oral Health, 2016,PubMed,citation,PMID:27846833 | PMCID:PMC5111257,pubmed,27846833,2016/11/17 , Ali HM,Khartoum,8,27846833 | PMCID:PMC5111257
"Exploring clinical pharmacists' perception of their impact on healthcare in Khartoum State, Sudan.",/pubmed/27843964,"Salim AM, Elhada AH, Elgizoli B.",J Res Pharm Pract. 2016 Oct-Dec;5(4):272-278.,J Res Pharm Pract, 2016,PubMed,citation,PMID:27843964 | PMCID:PMC5084485,pubmed,27843964,2016/11/16 , Salim AM,Khartoum,3,27843964 | PMCID:PMC5084485
Risk factors of diabetic cardiac autonomic neuropathy in patients with type 1 diabetes mellitus: a meta-analysis.,/pubmed/27843562,"Dafaalla MD, Nimir MN, Mohammed MI, Ali OA, Hussein A.",Open Heart. 2016 Oct 6;3(2):e000336.,Open Heart, 2016,PubMed,citation,PMID:27843562 | PMCID:PMC5073521,pubmed,27843562,2016/11/16 , Dafaalla MD,Khartoum,5,27843562 | PMCID:PMC5073521
"The Epidemiology of Trachoma in Darfur States and Khartoum State, Sudan: Results of 32 Population-Based Prevalence Surveys.",/pubmed/27841721,"Elshafie BE, Osman KH, Macleod C, Hassan A, Bush S, Dejene M, Willis R, Chu B, Courtright P, Solomon AW.",Ophthalmic Epidemiol. 2016 Dec;23(6):381-391.,Ophthalmic Epidemiol, 2016,PubMed,citation,PMID:27841721,pubmed,27841721,2016/11/15 , Elshafie BE,Khartoum,10,27841721
Molecular Detection of Epstein - Barr virus in Nasopharyngeal Carcinoma among Sudanese population.,/pubmed/27833652,"Edreis A, Mohamed MA, Mohamed NS, Siddig EE.",Infect Agent Cancer. 2016 Nov 8;11:55. Erratum in: Infect Agent Cancer. 2016 Nov 30;11:60.,Infect Agent Cancer, 2016,PubMed,citation,PMID:27833652 | PMCID:PMC5101655,pubmed,27833652,2016/11/12 , Edreis A,Khartoum,4,27833652 | PMCID:PMC5101655
Clinical Utility of Esophageal manometry in the patients with dysphagia - Experience from Sudan.,/pubmed/27833517,"Abbas AM, Medani S, Abdallah TM, Gasim GI.",Int J Health Sci (Qassim). 2016 Oct;10(4):522-531.,Int J Health Sci (Qassim), 2016,PubMed,citation,PMID:27833517 | PMCID:PMC5085347,pubmed,27833517,2016/11/12 , Abbas AM,Khartoum,4,27833517 | PMCID:PMC5085347
Primary wound closure of diabetic foot ulcers by debridement and stitching.,/pubmed/27827282,"Ahmed ME, Mohammed MS, Mahadi SI.",J Wound Care. 2016 Nov 2;25(11):650-654.,J Wound Care, 2016,PubMed,citation,PMID:27827282,pubmed,27827282,2016/11/09 , Ahmed ME,Khartoum,3,27827282
"A prospective multi-country observational trial to compare the incidences of diabetic ketoacidosis in the month of Ramadan, the preceding month, and the following month (DKAR international).",/pubmed/27826544,"Abdelgadir EI, Hassanein MM, Bashier AM, Abdelaziz S, Baki S, Chadli A, Askaoui S, Nawal EA, Slim IS, Ghizlane EM, Hafidh K, Alawadi F.",J Diabetes Metab Disord. 2016 Nov 5;15:50.,J Diabetes Metab Disord, 2016,PubMed,citation,PMID:27826544 | PMCID:PMC5097841,pubmed,27826544,2016/11/09 , Abdelgadir EI,Khartoum,12,27826544 | PMCID:PMC5097841
Garcinia kola aqueous suspension prevents cerebellar neurodegeneration in long-term diabetic rat - a type 1 diabetes mellitus model.,/pubmed/27825990,"Farahna M, Seke Etet PF, Osman SY, Yurt KK, Amir N, Vecchio L, Aydin I, Aldebasi YH, Sheikh A, Chijuka JC, Kaplan S, Adem A.",J Ethnopharmacol. 2016 Nov 5. pii: S0378-8741(16)31684-1. doi: 10.1016/j.jep.2016.11.001. [Epub ahead of print],J Ethnopharmacol, 2016,PubMed,citation,PMID:27825990,pubmed,27825990,2016/11/09 , Farahna M,Khartoum,12,27825990
"Ten steps to plan, design, and implement an endocrinology and endocrine surgery module for the Faculty of Medicine, Al-Baha University.",/pubmed/27822133,"Elfakey WE, Al-Ghamdi AH.",Adv Med Educ Pract. 2016 Oct 27;7:617-622.,Adv Med Educ Pract, 2016,PubMed,citation,PMID:27822133 | PMCID:PMC5087585,pubmed,27822133,2016/11/09 , Elfakey WE,Khartoum,2,27822133 | PMCID:PMC5087585
Rapid Diagnostic Tests for Neglected Infectious Diseases: Case Study Highlights Need for Customer Awareness and Postmarket Surveillance.,/pubmed/27812099,"Barbé B, Verdonck K, El-Safi S, Khanal B, Teav S, Lilo Kalo JR, Ravinetto R, Chappuis F, Boelaert M, Jacobs J.",PLoS Negl Trop Dis. 2016 Nov 3;10(11):e0004655. doi: 10.1371/journal.pntd.0004655. No abstract available.,PLoS Negl Trop Dis, 2016,PubMed,citation,PMID:27812099 | PMCID:PMC5094593,pubmed,27812099,2016/11/05 , Barbé B,Khartoum,10,27812099 | PMCID:PMC5094593
The Challenges of Conducting Clinical Research on Neglected Tropical Diseases in Remote Endemic Areas in Sudan.,/pubmed/27812094,"El-Safi S, Chappuis F, Boelaert M.",PLoS Negl Trop Dis. 2016 Nov 3;10(11):e0004736. doi: 10.1371/journal.pntd.0004736. No abstract available.,PLoS Negl Trop Dis, 2016,PubMed,citation,PMID:27812094 | PMCID:PMC5094669,pubmed,27812094,2016/11/05 , El-Safi S,Khartoum,3,27812094 | PMCID:PMC5094669
Diagnosis of Persistent Fever in the Tropics: Set of Standard Operating Procedures Used in the NIDIAG Febrile Syndrome Study.,/pubmed/27812090,"Alirol E, Horie NS, Barbé B, Lejon V, Verdonck K, Gillet P, Jacobs J, Büscher P, Kanal B, Bhattarai NR, El Safi S, Phe T, Lim K, Leng L, Lutumba P, Mukendi D, Bottieau E, Boelaert M, Rijal S, Chappuis F.",PLoS Negl Trop Dis. 2016 Nov 3;10(11):e0004749. doi: 10.1371/journal.pntd.0004749.,PLoS Negl Trop Dis, 2016,PubMed,citation,PMID:27812090 | PMCID:PMC5094701,pubmed,27812090,2016/11/05 , Alirol E,Khartoum,20,27812090 | PMCID:PMC5094701
Clinical Research in Neglected Tropical Diseases: The Challenge of Implementing Good Clinical (Laboratory) Practices.,/pubmed/27812089,"Ravinetto R, Alirol E, Mahendradhata Y, Rijal S, Lutumba P, Sacko M, El-Safi S, Lim K, van Loen H, Jacobs J, Peeling RW, Chappuis F, Boelaert M.",PLoS Negl Trop Dis. 2016 Nov 3;10(11):e0004654. doi: 10.1371/journal.pntd.0004654. No abstract available.,PLoS Negl Trop Dis, 2016,PubMed,citation,PMID:27812089 | PMCID:PMC5094655,pubmed,27812089,2016/11/05 , Ravinetto R,Khartoum,13,27812089 | PMCID:PMC5094655
Participatory Ethnographic Evaluation and Research: Reflections on the Research Approach Used to Understand the Complexity of Maternal Health Issues in South Sudan.,/pubmed/27811290,"Elmusharaf K, Byrne E, Manandhar M, Hemmings J, O'Donovan D.",Qual Health Res. 2016 Nov 2. pii: 1049732316673975. [Epub ahead of print],Qual Health Res, 2016,PubMed,citation,PMID:27811290,pubmed,27811290,2016/11/05 , Elmusharaf K,Khartoum,5,27811290
Reinventing the political role of health professionals in conflict prevention & reconciliation: the Sudanese model.,/pubmed/27771964,"Salih AM, Ahmed JM, Mohamed JF, Alfaki MM.",Med Confl Surviv. 2016 Apr-Jun;32(2):153-164.,Med Confl Surviv, 2016,PubMed,citation,PMID:27771964,pubmed,27771964,2016/11/05 , Salih AM,Khartoum,4,27771964
"Biodegradation of Chlorpyrifos, Malathion, and Dimethoate by Three Strains of Bacteria Isolated from Pesticide-Polluted Soils in Sudan.",/pubmed/27771954,"Ishag AE, Abdelbagi AO, Hammad AM, Elsheikh EA, Elsaid OE, Hur JH, Laing MD.",J Agric Food Chem. 2016 Nov 16;64(45):8491-8498.,J Agric Food Chem, 2016,PubMed,citation,PMID:27771954,pubmed,27771954,2016/11/04 , Ishag AE,Khartoum,7,27771954
"The First Confirmed Elimination of an Onchocerciasis Focus in Africa: Abu Hamed, Sudan.",/pubmed/27352878,"Zarroug IM, Hashim K, ElMubark WA, Shumo ZA, Salih KA, ElNojomi NA, Awad HA, Aziz N, Katabarwa M, Hassan HK, Unnasch TR, Mackenzie CD, Richards F, Higazi TB.",Am J Trop Med Hyg. 2016 Nov 2;95(5):1037-1040.,Am J Trop Med Hyg, 2016,PubMed,citation,PMID:27352878 | PMCID:PMC5094213,pubmed,27352878,2016/11/04 , Zarroug IM,Khartoum,14,27352878 | PMCID:PMC5094213
Synthesis and Antimicrobial Activity of Nitrobenzyl-oxy-phenol Derivatives.,/pubmed/27803461,"Mohamed MS, Maki T, Shah MM, Ichinose Y.",Biol Pharm Bull. 2016;39(11):1888-1892.,Biol Pharm Bull, 2016,PubMed,citation,PMID:27803461,pubmed,27803461,2016/11/03 , Mohamed MS,Khartoum,4,27803461
"Nitrite in processed meat products in Khartoum, Sudan and dietary intake.",/pubmed/27802783,"Adam AH, Mustafa NE, Rietjens IM.",Food Addit Contam Part B Surveill. 2016 Nov 17:1-6. [Epub ahead of print],Food Addit Contam Part B Surveill, 2016,PubMed,citation,PMID:27802783,pubmed,27802783,2016/11/03 , Adam AH,Khartoum,3,27802783
Fibrinolysis parameters in Sudanese women with severe preeclampsia.,/pubmed/27598010,"Elzein HO, Muddathir AR, Rida M, Rayis DA, Elhassan EM, Adam I.",Hypertens Pregnancy. 2016 Nov;35(4):559-564.,Hypertens Pregnancy, 2016,PubMed,citation,PMID:27598010,pubmed,27598010,2016/11/03 , Elzein HO,Khartoum,6,27598010
Moringa oleifera's Nutritious Aqueous Leaf Extract Has Anticancerous Effects by Compromising Mitochondrial Viability in an ROS-Dependent Manner.,/pubmed/27314649,"Madi N, Dany M, Abdoun S, Usta J.",J Am Coll Nutr. 2016 Sep-Oct;35(7):604-613.,J Am Coll Nutr, 2016,PubMed,citation,PMID:27314649,pubmed,27314649,2016/11/03 , Madi N,Khartoum,4,27314649
Laboratory rearing of Anopheles arabiensis: impact on genetic variability and implications for Sterile Insect Technique (SIT) based mosquito control in northern Sudan.,/pubmed/27799066,"Azrag RS, Ibrahim K, Malcolm C, Rayah EE, El-Sayed B.",Malar J. 2016 Aug 25;15(1):432.,Malar J, 2016,PubMed,citation,PMID:27799066 | PMCID:PMC5088653,pubmed,27799066,2016/11/02 , Azrag RS,Khartoum,5,27799066 | PMCID:PMC5088653
Predictors of Post-operative Mycetoma Recurrence Using Machine-Learning Algorithms: The Mycetoma Research Center Experience.,/pubmed/27798643,"Wadal A, Elhassan TA, Zein HA, Abdel-Rahman ME, Fahal AH.",PLoS Negl Trop Dis. 2016 Oct 31;10(10):e0005007. doi: 10.1371/journal.pntd.0005007.,PLoS Negl Trop Dis, 2016,PubMed,citation,PMID:27798643 | PMCID:PMC5087941,pubmed,27798643,2016/11/01 , Wadal A,Khartoum,5,27798643 | PMCID:PMC5087941
Title,URL,Description,Details,ShortDetails,NA,Resource,Type,Identifiers,Db,EntrezUID,Properties,NA,Khartoum,1,Identifiers
Trimester-specific thyroid hormone reference ranges in Sudanese women.,/pubmed/27795209,"Elhaj ET, Adam I, Ahmed MA, Lutfi MF.",BMC Physiol. 2016 Oct 31;16(1):5.,BMC Physiol, 2016,PubMed,citation,PMID:27795209 | PMCID:PMC5087113,pubmed,27795209,2016/11/01 , Elhaj ET,Khartoum,4,27795209 | PMCID:PMC5087113
An Examination of Income Effect on Consumers' Ethical Evaluation of Counterfeit Drugs Buying Behaviour: A Cross-Sectional Study in Qatar and Sudan.,/pubmed/27790465,"Alfadl AA, Ibrahim MI, Maraghi FA, Mohammad KS.",J Clin Diagn Res. 2016 Sep;10(9):IC01-IC04.,J Clin Diagn Res, 2016,PubMed,citation,PMID:27790465 | PMCID:PMC5071965,pubmed,27790465,2016/10/30 , Alfadl AA,Khartoum,4,27790465 | PMCID:PMC5071965
A Single Lineage of Hepatitis E Virus Causes Both  Outbreaks and Sporadic Hepatitis in Sudan.,/pubmed/27782061,"Elduma AH, Zein MM, Karlsson M, Elkhidir IM, Norder H.",Viruses. 2016 Oct 6;8(10). pii: E273.,Viruses, 2016,PubMed,citation,PMID:27782061 | PMCID:PMC5086609,pubmed,27782061,2016/10/27 , Elduma AH,Khartoum,5,27782061 | PMCID:PMC5086609
Effect of incorporation of Cyperus rotundus L. rhizome powder on quality attributes of minced beef meat.,/pubmed/27777450,"Eltilib HH, Elgasim EA, Mohamed Ahmed IA.",J Food Sci Technol. 2016 Sep;53(9):3446-3454.,J Food Sci Technol, 2016,PubMed,citation,PMID:27777450 | PMCID:PMC5069245,pubmed,27777450,2016/10/26 , Eltilib HH,Khartoum,3,27777450 | PMCID:PMC5069245
Isolation and partial characterization of 3 nontoxic d-galactose-specific isolectins from seeds of Momordica balsamina.,/pubmed/27774692,"Awadallah AK, Osman ME, Ibrahim MA, Bernardes ES, Dias-Baruffi M, Konozy EH.",J Mol Recognit. 2016 Oct 24. doi: 10.1002/jmr.2582. [Epub ahead of print],J Mol Recognit, 2016,PubMed,citation,PMID:27774692,pubmed,27774692,2016/10/25 , Awadallah AK,Khartoum,6,27774692
MicroRNAs play big roles in modulating macrophages response toward mycobacteria infection.,/pubmed/27693402,"Abdalla AE, Duan X, Deng W, Zeng J, Xie J.",Infect Genet Evol. 2016 Nov;45:378-382. doi: 10.1016/j.meegid.2016.09.023. Review.,Infect Genet Evol, 2016,PubMed,citation,PMID:27693402,pubmed,27693402,2016/10/23 , Abdalla AE,Khartoum,5,27693402
Association of Rift Valley fever virus infection with miscarriage in Sudanese women: a cross-sectional study.,/pubmed/27692776,"Baudin M, Jumaa AM, Jomma HJ, Karsany MS, Bucht G, Näslund J, Ahlm C, Evander M, Mohamed N.",Lancet Glob Health. 2016 Nov;4(11):e864-e871. doi: 10.1016/S2214-109X(16)30176-0.,Lancet Glob Health, 2016,PubMed,citation,PMID:27692776,pubmed,27692776,2016/10/22 , Baudin M,Khartoum,9,27692776
Neuroprotective effect of resveratrol against brain ischemia reperfusion injury in rats entails reduction of DJ-1 protein expression and activation of PI3K/Akt/GSK3b survival pathway.,/pubmed/27109835,"Abdel-Aleem GA, Khaleel EF, Mostafa DG, Elberier LK.",Arch Physiol Biochem. 2016 Oct;122(4):200-213.,Arch Physiol Biochem, 2016,PubMed,citation,PMID:27109835,pubmed,27109835,2016/10/22 , Abdel-Aleem GA,Khartoum,4,27109835
Association of IL-37 gene polymorphisms with susceptibility to tuberculosis in Saudi subjects.,/pubmed/27761939,"Allam G, Mohamed IA, Alswat KA, Abbadi SH, Nassif R, Alharthi BJ, Nasr A.",Microbiol Immunol. 2016 Nov;60(11):778-786. doi: 10.1111/1348-0421.12444.,Microbiol Immunol, 2016,PubMed,citation,PMID:27761939,pubmed,27761939,2016/10/21 , Allam G,Khartoum,7,27761939
"Chemotherapeutic potentials of the stem bark of Balanite aegyptiaca (L.) Delile: an antiangiogenic, antitumor and antioxidant agent.",/pubmed/27760539,"Hassan LE, Dahham SS, Saghir SA, Mohammed AM, Eltayeb NM, Majid AM, Majid AS.",BMC Complement Altern Med. 2016 Oct 19;16(1):396.,BMC Complement Altern Med, 2016,PubMed,citation,PMID:27760539 | PMCID:PMC5069806,pubmed,27760539,2016/10/21 , Hassan LE,Khartoum,7,27760539 | PMCID:PMC5069806
Communication for behavioural impact in enhancing utilization of insecticide-treated bed nets among mothers of under-five children in rural North Sudan: an experimental study.,/pubmed/27756314,"Elmosaad YM, Elhadi M, Khan A, Malik EM, Mahmud I.",Malar J. 2016 Oct 18;15(1):509.,Malar J, 2016,PubMed,citation,PMID:27756314 | PMCID:PMC5070147,pubmed,27756314,2016/10/21 , Elmosaad YM,Khartoum,5,27756314 | PMCID:PMC5070147
Randomized Trials Comparing Inactivated Vaccine After Medium- or High-titer Measles Vaccine With Standard Titer Measles Vaccine After Inactivated Vaccine: A Meta-analysis.,/pubmed/27753769,"Aaby P, Ravn H, Benn CS, Rodrigues A, Samb B, Ibrahim SA, Libman MD, Whittle HC.",Pediatr Infect Dis J. 2016 Nov;35(11):1232-1241.,Pediatr Infect Dis J, 2016,PubMed,citation,PMID:27753769,pubmed,27753769,2016/10/19 , Aaby P,Khartoum,8,27753769
